noise_model,redshift,parameter_1,parameter_1_value,parameter_2,parameter_2_value,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
theo,0.50,logfR0,-5.0,mv,0.15,0.41796875,1.6953125,6.7421875,19.26171875,45.23046875,86.109375,129.171875,159.44921875,160.1171875,136.11328125,96.54296875,59.6796875,33.78515625,17.33203125,8.80859375,4.55859375,2.90625,1.5390625,0.98046875,0.72265625
theo,0.50,logfR0,-11.0,mv,0.15,0.3359375,1.609375,6.28515625,18.578125,45.25390625,85.73828125,131.05078125,162.08984375,163.0234375,139.30078125,97.6328125,59.78515625,32.93359375,16.34375,8.03515625,4.04296875,2.2578125,1.20703125,0.87890625,0.52734375
theo,0.50,logfR0,-6.0,mv,0.06,0.3828125,1.671875,6.6640625,19.2578125,45.46484375,86.34765625,129.1328125,160.97265625,159.37109375,137.19140625,96.01953125,60.0859375,33.12109375,17.2578125,8.7890625,4.68359375,2.640625,1.41015625,0.96875,0.7265625
theo,0.50,logfR0,-5.0,mv,0.1,0.3984375,1.6953125,6.8359375,19.59375,46.05859375,86.1640625,128.62109375,158.640625,158.0390625,134.7109375,94.80078125,59.7109375,33.9921875,17.640625,9.3828125,4.9609375,3.05078125,1.71875,1.1796875,0.7890625
theo,0.50,logfR0,-4.0,mv,0.3,0.34765625,1.62109375,6.74609375,19.6171875,46.0546875,85.8359375,129.734375,160.66796875,159.05859375,136.09375,95.25,59.46484375,33.30859375,17.53125,8.50390625,4.69921875,2.6953125,1.60546875,1.05859375,0.65625
theo,0.50,logfR0,-6.0,mv,0.1,0.3515625,1.66015625,6.59375,19.2421875,45.08984375,86.09375,129.10546875,161.109375,161.04296875,137.28125,96.734375,60.29296875,32.85546875,17.2109375,8.390625,4.7265625,2.55078125,1.40234375,0.90234375,0.71875
k_grid,,,,,,-1.8,-1.4,-0.9999999999999999,-0.5999999999999999,-0.19999999999999996,0.20000000000000018,0.6000000000000003,1.0000000000000002,1.4000000000000001,1.8,2.2,2.6000000000000005,3.0000000000000004,3.4000000000000004,3.8000000000000003,4.2,4.6000000000000005,5.0,5.4,5.800000000000001
