,noise_case,paramid,parameter,parameter_value,split,n_train,interp_type,ncomp,gp_noise,gp_length,gp_const,dl_alpha,rmse,maxerr,global_mean_minerr,global_mean_maxerr,global_mean_rmse,global_max_rmse,global_var_rmse
46,theo,,,,0,71,GP,26,0.001,10.0,10.0,,,,1.1842378929335003e-16,0.03435267729935169,0.020278843858190558,0.058575435710937145,0.00016177467405745552
47,theo,,,,0,71,GP,26,0.1,10.0,10.0,,,,6.29126380620922e-17,0.03461991425727785,0.02044726900179605,0.05539011646789539,0.0001569191546207663
48,theo,,,,0,71,GP,27,1e-05,1.0,10.0,,,,9.251858538542972e-17,0.03432571285528852,0.02025655437310875,0.05805746464824516,0.00016067259570304928
49,theo,,,,0,71,GP,27,0.001,1.0,10.0,,,,1.6283271027835628e-16,0.03432566736595067,0.02025655482208218,0.05805747452808251,0.0001606726113680678
50,theo,,,,0,71,GP,27,0.1,1.0,10.0,,,,5.551115123125784e-17,0.03468251754603045,0.020479545482602692,0.05442185797669559,0.00015552503548363526
51,theo,,,,0,71,GP,27,1e-05,4.0,10.0,,,,4.810966440042345e-17,0.034325732476536135,0.020256566211462677,0.05805786620450934,0.00016067341088682162
52,theo,,,,0,71,GP,27,0.001,4.0,10.0,,,,1.295260195396016e-16,0.034325736071432814,0.02025655565226284,0.05805746983853646,0.00016067260575809602
53,theo,,,,0,71,GP,27,0.1,4.0,10.0,,,,9.62193288008469e-17,0.034682434072588336,0.020479544419998073,0.054421852711486064,0.0001555250109149163
54,theo,,,,0,71,GP,27,1e-05,7.0,10.0,,,,5.551115123125783e-17,0.03399594055375821,0.0201511766308794,0.05188855406925472,0.0001485851648060982
55,theo,,,,0,71,GP,27,0.001,7.0,10.0,,,,9.62193288008469e-17,0.03399583945889349,0.02015115927617064,0.051889375829078696,0.00014858633858097793
56,theo,,,,0,71,GP,27,0.1,7.0,10.0,,,,1.924386576016938e-16,0.0344369489280675,0.02036792064679642,0.0535662195511668,0.00015318894541862803
57,theo,,,,0,71,GP,27,1e-05,10.0,10.0,,,,6.291263806209221e-17,0.03399633398381162,0.020151395805499257,0.05188668885818241,0.0001485835013731722
58,theo,,,,0,71,GP,27,0.001,10.0,10.0,,,,8.881784197001253e-17,0.033996335886571014,0.020151376981329065,0.05188628635004465,0.00014858277465233736
59,theo,,,,0,71,GP,27,0.1,10.0,10.0,,,,1.2212453270876723e-16,0.03468246958430442,0.020479542538098784,0.054421833548355884,0.00015552495919407243
60,theo,,,,0,71,GP,28,1e-05,1.0,10.0,,,,5.181040781584064e-17,0.034292890254521646,0.020235190603696784,0.057565963912689776,0.00015964359467958805
61,theo,,,,0,71,GP,28,0.001,1.0,10.0,,,,8.511709855459534e-17,0.03429293255538571,0.020235190913512942,0.05756597511091438,0.00015964361588417445
62,theo,,,,0,71,GP,28,0.1,1.0,10.0,,,,1.3692750637043598e-16,0.0337844524036527,0.02003064956635913,0.045883786626268165,0.00014053556104198659
63,theo,,,,0,71,GP,28,1e-05,4.0,10.0,,,,4.440892098500627e-17,0.03429297958771677,0.02023518727128935,0.05756592777372503,0.0001596435161309791
64,theo,,,,0,71,GP,28,0.001,4.0,10.0,,,,9.251858538542972e-17,0.034292881236491275,0.02023519423227604,0.05756588437740919,0.00015964345899361726
65,theo,,,,0,71,GP,28,0.1,4.0,10.0,,,,9.62193288008469e-17,0.03473398048288491,0.02051680516322524,0.05354724340069149,0.00015438097616747668
66,theo,,,,0,71,GP,28,1e-05,7.0,10.0,,,,1.7393494052460786e-16,0.0339464523095511,0.020121781838170517,0.05139516237361206,0.0001476830566144505
67,theo,,,,0,71,GP,28,0.001,7.0,10.0,,,,9.251858538542972e-17,0.03394489851341983,0.02012103377276871,0.05140656429825519,0.00014769667852029272
68,theo,,,,0,71,GP,28,0.1,7.0,10.0,,,,6.661338147750939e-17,0.033784463028043485,0.02003064949295474,0.04588377137937566,0.0001405355502084227
69,theo,,,,0,71,GP,28,1e-05,10.0,10.0,,,,7.031412489292658e-17,0.03429292173976181,0.02023519017956048,0.05756597487641454,0.00015964361450288171
